image_stem,gt_path,pred_path,valid_pixels,correct_pixels,pixel_accuracy,mIoU
1590192582009639936,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192582009639936_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192582009639936_mask_id.png,327680,316717,0.9665435791015625,0.5224019146403516
1590192582109489920,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192582109489920_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192582109489920_mask_id.png,327680,315620,0.96319580078125,0.6348512898839516
1590192582409803776,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192582409803776_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192582409803776_mask_id.png,327680,312845,0.9547271728515625,0.6202715326253575
1590192583209362944,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192583209362944_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192583209362944_mask_id.png,327680,313494,0.956707763671875,0.556409121905985
1590192583409430784,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192583409430784_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192583409430784_mask_id.png,327680,305429,0.9320953369140625,0.530422482245336
1590192583509656832,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192583509656832_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192583509656832_mask_id.png,327680,308268,0.94075927734375,0.5304056950475349
1590192583609512960,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192583609512960_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192583609512960_mask_id.png,327680,310108,0.94637451171875,0.64021426410619
1590192583709351936,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192583709351936_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192583709351936_mask_id.png,327680,308348,0.94100341796875,0.6002751491647967
1590192583809984768,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192583809984768_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192583809984768_mask_id.png,327680,315961,0.9642364501953125,0.6229582321508367
1590192584109510912,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192584109510912_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192584109510912_mask_id.png,327680,312208,0.952783203125,0.6220196890558093
1590192586509654784,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192586509654784_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192586509654784_mask_id.png,327680,314395,0.9594573974609375,0.6510337038694307
1590192587109508864,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192587109508864_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192587109508864_mask_id.png,327680,314109,0.9585845947265625,0.8523009982408075
1590192587209359872,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192587209359872_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192587209359872_mask_id.png,327680,310361,0.9471466064453125,0.6449158135556554
1590192587609517824,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192587609517824_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192587609517824_mask_id.png,327680,313983,0.9582000732421875,0.5900445554386277
1590192587709348864,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192587709348864_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192587709348864_mask_id.png,327680,309564,0.94471435546875,0.6419622047183122
1590192588009640960,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192588009640960_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192588009640960_mask_id.png,327680,314986,0.961260986328125,0.7340762899987484
1590192588109489920,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192588109489920_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192588109489920_mask_id.png,327680,315198,0.961907958984375,0.6685553265530022
1590192588209334784,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192588209334784_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192588209334784_mask_id.png,327680,309395,0.9441986083984375,0.6317613314841916
1590192588409810944,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192588409810944_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192588409810944_mask_id.png,327680,314135,0.9586639404296875,0.8176299742588904
1590192588509666816,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192588509666816_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192588509666816_mask_id.png,327680,309345,0.9440460205078125,0.7485247353062915
1590192588609500928,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192588609500928_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192588609500928_mask_id.png,327680,312333,0.9531646728515625,0.8945807202015043
1590192588709338880,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192588709338880_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192588709338880_mask_id.png,327680,305777,0.9331573486328125,0.8487505594227429
1590192589009671936,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192589009671936_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192589009671936_mask_id.png,327680,314836,0.96080322265625,0.6692971331262917
1590192589109504768,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192589109504768_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192589109504768_mask_id.png,327680,316433,0.9656768798828125,0.8110203571354708
1590192589209344768,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192589209344768_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192589209344768_mask_id.png,327680,304656,0.929736328125,0.8182051353903633
1590192589409798912,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192589409798912_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192589409798912_mask_id.png,327680,315155,0.9617767333984375,0.6701263327468813
1590192589509635840,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192589509635840_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192589509635840_mask_id.png,327680,314440,0.9595947265625,0.7686033575153584
1590192589609481984,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192589609481984_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192589609481984_mask_id.png,327680,314640,0.960205078125,0.7574919636367572
1590192589809984768,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192589809984768_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192589809984768_mask_id.png,327680,311809,0.9515655517578125,0.7659961708289259
1590192589909824768,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192589909824768_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192589909824768_mask_id.png,327680,314513,0.9598175048828125,0.8693937417094441
1590192590009665792,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192590009665792_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192590009665792_mask_id.png,327680,308101,0.9402496337890625,0.7858904167670803
1590192590109495040,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192590109495040_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192590109495040_mask_id.png,327680,310536,0.9476806640625,0.814801770725279
1590192590209336832,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192590209336832_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192590209336832_mask_id.png,327680,315317,0.9622711181640625,0.6761496190638766
1590192590309969920,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192590309969920_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192590309969920_mask_id.png,327680,310612,0.94791259765625,0.837174424020853
1590192590409805824,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192590409805824_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192590409805824_mask_id.png,327680,305444,0.93214111328125,0.7992792097549098
1590192590509652992,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192590509652992_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192590509652992_mask_id.png,327680,316036,0.96446533203125,0.7421200703429538
1590192590609491968,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192590609491968_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192590609491968_mask_id.png,327680,303313,0.9256378173828125,0.7897997154842274
1590192590709327872,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192590709327872_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192590709327872_mask_id.png,327680,315225,0.9619903564453125,0.8485158362126523
1590192590809959936,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_dinov3_whole/1590192590809959936_mask_id.png,/data1/user/data/2026.05.10_机狗二次数据采集结果_标定/image/res_robotdog_distill_midterm/1590192590809959936_mask_id.png,327680,310011,0.9460784912109375,0.8554238178358068
